Word,POS,Definition
กลัก,ลัก.,ลักษณนามของไม้ขีดไฟ เช่น ไม้ขีด ๒ กลัก.
กลักเคยกลักเกลือ,น.,ชื่อไม้ต้นชนิดหนึ่ง ฝักคล้ายชัยพฤกษ์ ผลใช้ทำยา
หลักเคยหลักเกลือ (น.ศ.),,ก็เรียก.
กลัง,น.,ไม้กลมขนาดย่อม ยาวประมาณ ๑ วา ผูกทาบ เชือกล่ามควายวัวเพื่อยันไม่ให้วัวควายทำร้ายคนจูง.
กลั้ง,น.,๑. ชื่อปลาน้ำจืดชนิดหนึ่ง คล้ายปลาช่อน แต่ตัวเล็กกว่า สีคล้ำ (ดู กรั้ง).
กลั้ง,น.,ชื่อตัวตลกในหนังตะลุง ถือมีดพร้าเป็นอาวุธ.
กลั้ง,ว.,แสดงอาการเหมือนตัวตลกในหนังตะลุง เช่น แต่งตัวเหมือนอ้ายกลั้ง.
กลัด,ก.,"๑. ขัด, ปัก, เหน็บ."
กลัด,ก.,ไม่เจริญ ใช้กับต้นยาสูบ (ส.ฎ.).
กลัด,ก.,"ผลิ, เริ่มงอกผลิออกมา เช่น ต้นไม้กลัดยอดใหม่."
กลัด,ก.,อุดตัน เช่น เกียงเจ้าพาโยะกลัด - นมหนูของตะเกียงเจ้าพายุอุดตัน (ตรงทางเดินของน้ำมัน).
กลัด,ว.,รสฝาดอมเปรี้ยว (เทียบ ม. kelat).
กลั่น,ก.,คัดเลือกตามขนาด (ช.พ.).
กลั้น,ก.,"อดกลั้น, บังคับความรู้สึกหรือสิ่งที่อยู่ภายในร่างกายไม่ให้แสดงหรือหลุดออกมา."
กลั้นใจ,ก.,บังคับตนเองไม่หายใจออก.
กลั้นน้ำ,ก.,การดำน้ำลงไปแล้วพยายามอดกลั้นหายใจ.
กลับ,ก.,๑. พลิก.
กลับ,ก.,แนบติดกับพื้น เช่น แร่กลับกับท้องราง – แร่ติดกับพื้นห้องรางแร่ (ภ.ก.).
กลัว,ว.,ไม่กล้า.
กลัวตีน,ก.,กลัวงูกัด เช่น ไม่กล้าเดินทางกลางคืน เพราะฉันกลัวตีน - ไม่กล้าเดินทางกลางคืน เพราะฉันกลัวงูกัด (ช.พ.).
กลา,น.,น้ำครำใต้ถุนห้องครัว (ดู ขี้กรา).
กล้า,น.,"๑. ข้าวกล้า, ต้นกล้า, ต้นอ่อนของพืช."
กล้า,น.,ผีกระสือ (ดู กระ
กล้า,น.,๓.).
กล้า,ว.,"๑. ขยัน, หมั่น เช่น คนกล้าไม่พักกลัวอด - คนขยันไม่ต้องกลัวอด."
กล้า,ว.,กล้าหาญ.
กล้า,ว.,"แรง, จัด, มาก เช่น ลมกล้า - ลมแรง, ลมพัดจัด, มีดคมกล้า - มีดคมมาก."
กลาก,น.,"ขี้กลาก, ชื่อโรคผิวหนังชนิดหนึ่ง เกิดจากเชื้อราขึ้นเป็นวง มีอาการคัน."
กลาง,น.,"ส่วนที่ไม่ค่อนไปทางใดทางหนึ่ง, โดยปริยาย หมายความว่า ใน ที่ หรือเวลาระหว่าง."
กลางงายเช้า,น.,ช่วงเวลากึ่งกลางของช่วงเวลาเช้ากับเที่ยง ประมาณ ๐๙.๐๐ นาฬิกา.
กลางงายเย็น,น.,ช่วงเวลากึ่งกลางเวลาเที่ยงกับเย็น ประมาณ ๑๕.๐๐ นาฬิกา.
กลางเมี่ยง,ว.,กลางแดดร้อนจัด (ช.พ.)
"กลางเที่ยง (น.ศ.), กลางเที่ยงตรง (น.ธ.)",,ก็ว่า.
กลางไฟ,น.,กองไฟ.
กลาด,ว.,"เกลื่อนกลาด, มากมาย, ดาษดื่น เช่น นอนแลกลาด - นอนเกลื่อนกลาด."
กลาว,ก.,"๑. กล่าว, บอก, แจ้ง, พูด."
กลาว,ก.,"แสดง, ขับร้อง."
กลาวบท,ก.,"ร้องกลอน เช่น กลอนหนังตะลุง, กลอนมโนราห์ เป็นต้น"
ว่าบท,,ก็ว่า.
กลำ,น.,กิ่งไม้ที่สุมไว้ในลำคลองหรือหนองน้ำเพื่อล่อปลา (ดู หฺมฺรำ
กลำ,น.,๑.).
กล่ำ,น.,ชื่อพืชจำพวกเฟิน วงศ์ Gleicheniaceae ใบใหญ่เรียงเป็นระยะห่างตามลำต้น.
กล้ำกลวม,น.,๑. ชื่อสัตว์เลื้อยคลาน ขนาดเล็กจำพวกจิ้งเหลน.
กล้ำกลวม,น.,ชื่องูดินชนิดหนึ่ง
งูกลิ้ง,,ก็เรียก.
"ก. ๑. สับเปลี่ยน. ๒. ล้ำแดน. ว. กำกวม, คลุมเครือ เช่น อย่าพูดกล้ำกลวมกูไม่โร้ฟัง - อย่าพูดกำกวม ฉันไม่รู้เรื่อง.",,
กลิง,น.,ยิงลูกสะบ้า.
กลิ้ง,น.,๑. ชื่อไม้เถาชนิดหนึ่ง ตามง่ามใบมีหัวกลมขรุขระ.
กลิ้ง,น.,กระดิ่ง (ดู กริ้ง).
กลิ้ง,ก.,๑. หมุนไปตามพื้น.
กลิ้ง,ก.,กดกระดิ่ง.
กลิ้ง,สำ.,กลับกลอก เช่น คนนี้กลิ้งจิตาย - คนนี้กลับกลอกมาก.
กลิบ,น.,กิ๊บ (ดู กีบ
กลิบ,น.,๒.).
กลิบ,ก.,ขยิบ (ดู กริบ
กลิบ,ก.,๑.).
กลิบ,ว.,"พริบตาเดียว, ไม่เหลือ, ไกลมาก (ดู กริบ"
กลิบ,ว.,).
กลีบขาว,น.,ชื่อกล้วยไม้ อิงอาศัยบนต้นไม้อื่น วงศ์ Orchidaceae ใบเดี่ยวเรียงสลับในระนาบเดียวกัน ดอกสีขาวนวล.
กลุม,ก.,"อักเสบ, บวม, อาการที่เนื้ออูมหรือนูนขึ้น เพราะอักเสบหรือฟกช้ำ (ส.ฎ.)."
กลุ้ม,ก.,รุมล้อม.
กลุ้มกลวม,ว.,"ละลาบละล้วง, ล่วงเกิน (ส.ฎ.)."
กลูน,ก.,"หวาดหวั่น, วิตก, ประหม่า, กลัว (ดู หลูน)."
กวด,น.,๑. ตะกวด มีสองชนิด คือ ตะกวดดอกไม้ เป็นตะกวดตัวโตกว่าตะกวดชนิดอื่น ตามตัวมีลาย คล้ายดอกไม้ และตะกวดหัวขาว หัวมีสีขาว ขนาดไม่โตนัก.
กวด,น.,"ปรวด, แผลเป็นที่มีลักษณะเป็นก้อนแข็งอยู่ใต้ผิวหนังและรู้สึกคัน (น.ศ., ส.ฎ.)."
กวด,ก.,๑. ทำเส้นด้ายให้แข็งโดยใช้สีผึ้งยางสนรูด เช่น กวดด้ายใส่ลูกขี้เข็มให้ที - ใช้สีผึ้งถูด้ายสนเข็มให้ทีเถอะ.
กวด,ก.,"ทำให้ตึง, ทำให้แน่น."
กวด,ก.,"ไล่, เร่งรัดให้ดียิ่งขึ้นหรือเพื่อให้ทัน."
กวน,น.,เรียกของกินที่ทำด้วยผลไม้ เป็นต้น เคี่ยวกับน้ำตาลแล้วคนให้เข้ากันจนข้น.
กวน,ก.,"๑. รบกวน, ทำให้เกิดความรำคาญ เช่น อย่าไปกวนพี่จะทำงาน - อย่าไปรบกวนพี่จะทำงาน."
กวนโมโห,ก.,ยั่วโทสะ.
กวนอก,ก.,คลื่นไส้.
๒. คนให้เข้ากัน.,,
กวนหมวน,ก.,ทำให้น้ำขุ่น.
กวนหมวน,สำ.,"๑). รื้อฟื้นเรื่องเก่ามาเป็นประเด็น., ๒). ก่อกวน, ทำลายความสงบเรียบร้อย."
ก้วน,น.,"๑. ก๊ก, เหล่า (จ., ภ.ก.)."
ก้วน,น.,เสาหลักในการเล่นอาหว้าย ดาวเด้อ หรือราวเด้อ (ภ.ก.).
ก้วน,ก.,๑. การเปิดไพ่ใบที่ ๕ ในการเล่นไพ่ยี่สิบเอ็ดแต้ม.
ก้วน,ก.,สำเร็จบริบูรณ์.
ก่วนต่า,น.,"ป้ายวิญญาณที่ห้อยไว้กับกิ่งไผ่ที่เหลือยอดใบไว้ ๒ ใบ เพื่อให้ลูกชายคนโตถือนำหน้าโลงศพขณะหามศพไปฝังและพิธีกงเต๊ก (จ., ภ.ก.)."
กวม,น.,๑. ช้างตัวผู้ไม่มีงา มีแต่ขนาย ลักษณะโตและสูงใหญ่ มีกำลังมากกว่าช้างงา ดุร้ายมาก.
กวม,น.,ไก่ตัวผู้ ไม่มีเดือย
ไกแข้งหล้าง,,ก็เรียก.
๓. พระมหานิกายที่ห่มผ้าอย่างธรรมยุติ. ๔. ชื่อไม้ยืนต้นชนิดหนึ่ง เปลือกและรากทำยาได้.,,
ก่วย,ก.,"ทำให้เสียเรื่อง, ขัด, ขัดแย้ง เช่น หมึงยามาก่วยเรื่องของกูนะ - มึงอย่ามาทำให้เรื่องของกูเสียนะ (จ., ภ.ก., พ.ง.)."
กวยฉบ,น.,ปาท่องโก๋ (ดู จาโก้ย).
ก่วยติ้ว,น.,"นายอำเภอ (จ., ภ.ก.)."
ก๊วยเตี๋ยว,น.,"ก๋วยเดี๋ยว, ชื่อของกินชนิดหนึ่ง ทำด้วยแป้งข้าวเจ้าเป็นเส้น ๆ"
โก๊ยเตี๋ยว,,ก็เรียก.
กวะ,ว.,"คำต่อท้ายคำพูด, ประโยคที่ผู้ใหญ่ใช้กับเด็กหรือระหว่างเพื่อนฝูงวัยเดียวกัน เช่น ""ไปไหนกวะ"" - ไปไหนจ๊ะ (ช.พ.)."
กวัก,น.,๑. นกกวัก.
กวัก,น.,ชื่อหอยชนิดหนึ่ง ชอบอยู่ในป่าชายเลน.
กวัก,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบกชนิดหนึ่งคล้ายปาด ร้องเสียงกวัก ๆ.
กวัก,ก.,กวักมือ
หวักมือ,,ก็ว่า.
กวักน้ำ,ก.,กวักน้ำ (ดู หวัก
กวักน้ำ,ก.,๒.).
กวัด,ก.,"ปัด, ตวัด, แกว่ง."
กวัดกวัด,ว.,"ไม่สำรวม, ลุกลี้ลุกลน เช่น เดินกวัดกวัด - เดินไม่สำรวม"
ปัดปัด (น.ศ.),,ก็ว่า.
กว้าน,น.,"๑. ร้านค้าเล็ก ๆ (น.ศ., พ.ท.)."
กว้าน,น.,ห้องแกว.
กว้าน,น.,บ้านที่ไม่มีใต้ถุน.
กว้าน,ก.,คว้าน.
กวายหลาย,ก.,๑. ไขว่คว้า เช่น เด็กตกน้ำมือกวายหลาย – เด็กตกน้ำมือไขว่คว้า.
กวายหลาย,ก.,ทำไม่ระมัดระวัง (ต.ร.).
กวายหลาย,ก.,"ไม่อยู่นิ่ง, ทำสิ่งที่ไม่เป็นประโยชน์."
กวายหลาย,ว.,"ไม่อยู่ในร่องในรอย, กล้าเสี่ยงโดยไม่เกรงกลัว"
"กายหลาย (ภ.ก., พ.ง.)",,ก็ว่า.
กวำ,ก.,"ขย้ำ, งับ."
กวำ,ว.,"๑. โดนเต็มที่, อย่างจัง."
กวำ,ว.,เสียงดังเช่นนั้น.
กอ,น.,"๑. ชื่อไม้ต้นชนิดหนึ่ง ผลมีเนื้อในกินได้ รสมันคล้ายเกาลัด แต่เล็กกว่า มีหลายชนิด เช่น กอข้าว, กอหมู, กอดำ."
กอ,น.,"กอ, กลุ่มแห่งต้นไม้ที่เกิดจากเหง้าเดียวกัน, ต้นไม้ที่ขึ้นเป็นกลุ่ม."
กอ,น.,เหล่ากอ เช่น กอมันดี - เหล่ากอมันดี.
กอ,ก.,๑. เริ่ม เช่น เขากอสาดเป็นลายสอง - เขาเริ่มต้นสานเสื่อเป็นลายสอง.
กอ,ก.,"ก่อ, ทำให้เกิดขึ้น มีขึ้น หรือเป็นรูปขึ้น เช่น กอกำแพง - สร้างกำแพง, กอไฟ - ก่อไฟ."
กอ,ลัก.,"ต้น, กอ เช่น บ้านฉานโปลกดีปลี ๓ กอ - บ้านฉันปลูกพริกไว้ ๓ ต้น, โปลกไคร ๓ กอ - ปลูกตะไคร้ ๓ กอ."
ก้อ,น.,๑. ชื่อขนม (ดู โก้
ก้อ,น.,๒).
ก้อ,น.,กลอง (ดู กลอง
ก้อ,น.,๑).
ก้อ,ก.,เฝ้าดูแล (ภ.ก.).
ก๊อ,น.,"พี่สาวหรือน้องสาวฝ่ายพ่อ (จ., ภ.ก., พ.ง.)."
ก๋อ,น.,"กาวแป้งเปียก (จ., ภ.ก., พ.ง.)."
ก๊อก,น.,"ก๊อกน้ำ, เครื่องเปิดปิดน้ำจากท่อหรือภาชนะ."
ก๊อกกี๋,น.,"ธงชาติ (จ., ภ.ก.)."
ก๊อกกี้กางเกิ้ก,ว.,เสียงไก่ขัน
กอกีกางกี้ด (ภ.ก.),,ก็ว่า.
สำ. ไก่.,,
ก๊อกแก็ก,ว.,"เล็ก ๆ น้อย ๆ, เหลาะแหละ."
กอกีกางกี้ด,ว.,เสียงไก่ขัน (ดู ก้อกกี้กางเกิ้ก).
ก่อขูด,ว.,"เก็บตัว, ไม่คบใคร. จองหอง, หยิ่ง, อวดดี, ทำหน้าบอกบุญไม่รับ (จ., ภ.ก., พ.ง.)."
กอง,ก.,"ทำให้สุมรวมกันไว้, สุมกันไว้."
กองปรน,ก.,การเก็บกิ่งไม้มากองเพื่อจุดไฟ.
กองลุย,ว.,มากมายก่ายกอง
"กองโขเข, กองเอ, กะลุย, กะหลักกะลุย, กะเอกะอ้าน, คะลักคะลุย, คะลุย, คะเอ, คะเอคะอ้าน, ระอักระเอ, ลักลุย, ลุย, ลุยเอ, อักเอ, เอ, เออัก",,ก็ว่า
ก็องเกียะ,น.,ปลวกชนิดหนึ่ง ตัวใหญ่ หัวแข็ง สีดำ มีเขี้ยว
"กั้งเกียะ, ก้างเกียะ, เกียะ (เทียบ ม. kiak - kiak ; ส.ข.)",,ก็เรียก.
ก้องแก้ง,ก.,อวดดี (ดู อ้องแอ้ง).
ก้องข้อง,น.,ดวงจันทร์ (ดู เขน).
ก่องจ้อ,น.,"ทวด (จ., ภ.ก., พ.ง.)."
ก็องโต่,ว.,ยุติธรรม (ดู ก้งโท้).
ก็องถั่น,ก.,"เข้าหุ้นในการเล่นการพนัน (จ., ภ.ก.)."
ก้องถึง,น.,ขนมตุ๊บตั๊บ (ดู ถัวทุบ).
ก็องโถ่,ว.,ยุติธรรม (ดู ก้งโท้).
กอฉะ,ก.,ร่วมประเวณี. (น.ธ.)
ก่อเซี้ย,น.,"คนเฝ้าเครื่องจักรในเหมืองแร่ (จ., ภ.ก., พ.ง.)."
กอด,ก.,"กอด, โอบไว้ในวงแขน."
กอดกง,ก.,อาการที่คนกอดคอขี่หลังคนอีกคนหนึ่ง (ดู กง
กอดกง,ก.,๓.).
กอดแคระ,ก.,อาการที่พาเด็กหรือคนป่วย โดยเด็กหรือคนป่วยเกาะอยู่ข้างหลังให้ขาคร่อมเอวผู้พา
"กอดแคละ, กอดแคล่",,ก็ว่า.
ก้อตะ,น.,กล่องที่ทำจากวัสดุต่าง ๆ ใช้สำหรับบรรจุสิ่งของ
"กะตะ, ก้อเตาะ, โก้ต้า",,ก็เรียก.
ก้อเตาะ,น.,กล่องที่ทำจากวัสดุต่าง ๆ (ดู ก้อตะ).
กอน,ว.,"เดิม, เริ่ม, ลำดับแรก."
กอนไก,ว.,ช่วงเวลาดึกก่อนไก่ขันครั้งแรก.
กอนบุญ,น.,ช่วงเวลาก่อนที่จะมีเทศกาลเดือนสิบ (สารท).
ก้อน,น.,มาตราเงินโบราณ มีค่า ๒๕ สตางค์ (ยกเว้นสงขลา มีค่า ๑๕ สตางค์).
ก้อน,ลัก.,ของที่ปั้นเป็นก้อน เช่น เคยสองก้อน - กะปิสองก้อน.
ก้อนขี้หมา,น.,ปลายจมูกของจระเข้.
ก้อนเส้า,น.,๑. ก้อนดิน ก้อนอิฐ หรือก้อนหินที่เอามาเป็นหลักต่างเตาหุงต้ม.
ก้อนเส้า,น.,ก้อนหินที่เผาไฟ แล้วห่อผ้า ใช้ประคบท้องหญิงที่เพิ่งคลอดลูก.
ก้อนเส้า,น.,โหนก เช่น วัวนี้ก้อนเส้าใหญ่ - วัวนี้โหนกโต.
ก้อนเส้า,น.,ส่วนที่นูนบนหัวช้าง
น้ำเต้า,,ก็เรียก.
ก้อเนื้อ,น.,ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.).
กอแปะ,ก.,"บุบ, บู้ลง. (น.ธ.)"
ก้อย,ก.,กิริยาของไก่ที่ร้องหารังจะไข่ (ดู ต้อย).
ก้อเยาะ,น.,แผ่นยาที่ใช้ปิดบรรเทาปวด (ดู โปโยะ).
กอระ,ว.,"ไม่ได้ความ, ไม่ได้เรื่อง (ป.น., ย.ล)"
ฆ้อระ (น.ธ.),,ก็ว่า.
กอระหนี,น.,บานไม่รู้โรย (ดู กุนหนี).
กอแระ,น.,เครื่องมือคว้านหมากทั้งหมดให้เป็นฝอย ๆ ลักษณะเป็นโลหะ เช่น เหล็ก เป็นต้น รูปคล้าย อักษร “ร”.
กอแระ,ก.,การคว้านหมาก. (น.ธ.).
กอและ,น.,๑. ชื่อเรือประมงตามชายฝั่งทะเลทางภาคใต้ รูปร่างยาวเพรียว หัวและท้ายเรือแหลมสูง เขียนลวดลายสีสันต่าง ๆ ไว้อย่างสวยงาม
ฆอและ,,ก็เรียก.
๒. ชื่อขนมชนิดหนึ่ง ทำจากข้าวเจ้าละลายในน้ำกะทิ เมื่อสุกเทใส่ถาด โรยหน้าด้วยต้นหอมหั่นละเอียด. ๓. เรียกอาหารชนิดหนึ่ง ทำด้วยไก่ที่ถอดกระดูกชุบเครื่องปรุงรส ปิ้งให้สุกว่า ไก่กอและ.,,
กอสั้ง,น.,กระดุมเสื้อยาหยา
"กระชั้ง, กระสั้ง",,ก็เรียก.
ก้อหรอ,ก.,"รุม, กลุ้มรุม."
กอหรัง,ก.,"มีน้อย, มีไม่เพียงพอ (น.ธ.)."
กอหลอ,น.,ชื่อนกชนิดหนึ่ง.
กอหลี,น.,ชื่อขนมชนิดหนึ่ง (ดู กุหลี
กอหลี,น.,๒.).
ก๊อหุ้น,น.,หุ้น (ดู หุ้น
ก๊อหุ้น,น.,).
ก่ออ๊าม,น.,"ผู้ดูแลศาลเจ้า (จ., ภ.ก.)."
ก่อเอ๊ว,น.,แผ่นขี้ผึ้งปิดแผลชนิดหนึ่งของจีน มักใช้ปิดฝีเพื่อดูดหนอง
"กอเอียะ (จ., ภ.ก.).",,ก็เรียก.
กอเอ๊วญี่ปุ่น,น.,แผ่นยาที่ใช้ปิดบรรเทาปวด (ดู โปโยะ).
กอเอียะ,น.,แผ่นขี้ผึ้งปิดฝี (ดู ก่อเอ๊ว).
กะ,น.,๑. ไม้ไผ่สานแบบตะกร้อสอยผลไม้ ข้างบนใช้สำหรับวางสิ่งของเซ่นสรวง เช่น ยกหนมโคใส่กะ เซ่นพระภูมิ.
กะ,น.,เครื่องประกอบสมอเรือช่วยให้กดดิน
ป้าน,,ก็เรียก.
๓. รอบหนึ่งของคาบทำงาน เช่น กะหนึ่งทำงาน ๓ ชั่วโมง. ๔. นกกระเต็นพันธุ์หนึ่ง ขนลาย ชอบกินปลา และขุดรูบริเวณดินลาดชัน,,
"บังกะ, บังก้า, ปังกะ, ปังก้า, พังกะ, พังคะ",,ก็เรียก.
๕. เชือกที่โยงจากอวนกับเรือ สำหรับลากอวนมาสู่เรือ. ๖. คำนำหน้าชื่อสตรีของไทยมุสลิม,,
กือ (น.ธ.),,ก็เรียก.
๗. รังทำไว้สำหรับให้นกไข่หรือไก่ไข่,,
ตรอม,,ก็เรียก.
"๘. ชื่อไม้ชนิดหนึ่ง เปลือกสีดำ ทำฟืนได้. ๙. เครื่องมือสอยผลไม้ (ดู กรอม น. ๒.). ก. ๑. แตกร้าว, กำลังจะขาด เช่น ไม้นี้กะเสียแล้ว อย่าเอาไปทำเริน - ไม้นี้แตกร้าวเสียแล้วอย่าเอาไปสร้างบ้าน. ๒. เอามือเค้นคอ (ก.บ., ส.ต., ต.ร.). ๓. คาคคะเน, ประมาณ, กำหนด, หมาย. ๔. การบากไม้เป็นเครื่องหมายไว้เป็นระยะ ๆ. ๕. กัด เช่น กะอ้อย - กัดอ้อย. ว. ก็ เช่น ไปกะได้ - ไปก็ได้.",,
ก้า,,ก็ว่า.
กะกรัก,ก.,เขย่าสิ่งของในภาชนะ เพื่อให้อัดตัวกันแน่น (เขย่าทางข้าง).
กะกรุ้ง,ก.,เขย่าสิ่งหนึ่งสิ่งใดด้วยอาการขึ้นลงด้วยความตื่นตระหนกหรือความสนุก.
กะกุบ,น.,"กล่อง, ตลับ (ดู กุบ)."
กะไกร,น.,กรรไกร (ดู ไกร).
กะเคี่ย,ว.,"ระเนระนาด, ระเกะระกะ."
กะจง,น.,"ภาชนะสานด้วยไม้ไผ่หรือเตยใช้ใส่ของ, กระจง (ดู จง)."
กะจะ,ก.,ว่องไว เช่น แด็กคนนี้กะจะจริง - เด็กคนนี้ว่องไวจริง
กือเจ๊าะ,,ก็ว่า.
ว. เห็นได้ชัดเจน.,,
กะจ๊ะ,น.,๑. ช้าง (ดู ช้าง
กะจ๊ะ,น.,๒.).
กะจ๊ะ,น.,"คลื่น, ลูกคลื่น."
กะจะโรป,น.,แผงเก็บรูปหนังตะลุง (ดู แผงหนัง).
กะจัง,น.,๑. ชื่อปลาน้ำกร่อยชนิดหนึ่ง (ดู จัง
กะจัง,น.,๒.).
กะจัง,น.,เครื่องบังลมชนิดหนึ่ง.
กะจัง,ว.,มาก (ดู จัง
กะจัง,ว.,).
กะจั๊วะ,น.,๑. แมลงสาบ (ดู สาบ
กะจั๊วะ,น.,๒.).
กะจั๊วะ,น.,"ตั๊กแตนตำข้าว, แมงดา (ช.พ.)."
กะจั๊วะ,สำ.,"ผู้ชายที่เกาะผู้หญิงกินทำนองกาฝากหรือแมงดา (ภ.ก., พ.ง.)."
กะจ๋าม,ก.,จาม (น.ธ.)
กือจ๋าม,,ก็ว่่า.
กะแจ,น.,กุญแจ (ดู ลูกแจ).
กะแจง,น.,กะชะ (ดู ชะ
กะแจง,น.,๑.).
กะแจงหิ้ว,น.,ตะกร้ามีหู.
กะแจ๋ง,น.,ตะแกรง (ดู แตรง).
กะโจ๋,ว.,ลุกลี้ลุกลน.
กะโจะ,น.,เครื่องกันขโมยหลอก ๆ (ดู โจ
กะโจะ,น.,).
กะฉด,ก.,กระถด (ดู ถด).
กะฉอน,ก.,คลอน (ดู ฉอน
กะฉอน,ก.,).
กะฉะ,ก.,๑. ใช้เท้าวิดน้ำจากที่หนึ่งไปยังอีกที่หนึ่ง.
กะฉะ,ก.,ปะทะคารมกัน.
กะฉะ,ก.,ไก่ตีกัน (น.ธ.).
กะฉูด,ก.,"กระฉูด, พุ่งออกไป (น.ธ.)."
กะโฉง,ก.,กระฉอก (ดู ฉอก
กะโฉง,ก.,๒.).
กะโฉ้ง,น.,ขวานถากไม้ (ดู ขวานโฉ้ง).
กะโฉะ,ก.,๑. เริ่มออกอย่างแรง.
กะโฉะ,ก.,"กระตุก, ดึง, (ดู โฉะ)."
กะช็อง,ก.,ผูกเข้าด้วยกัน เช่น กะช็องมือ - ผูกมือเข้าด้วยกัน (น.ธ.).
กะช็็อด,น.,กะชะ (ดู ชะ
กะช็็อด,น.,๑.).
กะช็็อด,ก.,"กระชาก, ดึง (ดู ชะ"
กะช็็อด,ก.,๑.).
กะช็็อด,ว.,กระเถิบ (น.ธ.).
กะชะ,ก.,"๑. รีบ, รีบเร่ง, บังคับให้เร็ว, เตือนให้รีบปฏิบัติ."
กะชะ,ก.,"ชัก, ดึง, กระชาก เช่น กะชะปีน - ชักปืน (น.ธ.)."
กะชับ,ว.,"แข็งแรง, ล่ำสัน, มั่นคง (น.ธ.)."
กะชาย,น.,ผู้ชาย (ดู ชาย
กะชาย,น.,๑.)
กะชิง,น.,กะพ้อ (ดู พ้อ
กะชิง,น.,).
กะชุ่น,ก.,"ดิ้น, ทุรนทุราย (ดู ชิน"
กะชุ่น,ก.,๓.).
กะเชอ,น.,กระเชอ (ดู เชอ).
กะแช่,น.,น้ำตาลเมา (ดู หวาก).
กะซ้า,น.,กระชุ (ดู ชุด
กะซ้า,น.,๑.).
กะซี่,ว.,ไม่สมบูรณ์ (น.ธ.).
กะเซอ,ก.,"ทำไก๋, ทำเสแสร้งว่าไม่รู้, ทำไขสือ (น.ธ.)."
กะเซียม,น.,วัณโรค (ดู ฝีในพุง).
กะดกหมาก,น.,กาบหมาก (ดู ตอกหมาก).
กะด้ง,น.,กระด้ง (ดู ด้ง
กะด้ง,น.,๑.).
กะด่วน,ว.,"รีบ, เร่ง, ด่วน (น.ธ.)"
กือด่วน,,ก็ว่า.
กะดอ,น.,๑. อวัยวะเพศชาย (ดู หัวดอ).
กะดอ,น.,ชื่อปาล์มชนิดหนึ่ง คล้ายต้นหมากแต่เล็กกว่า ลำต้นนำมาทำเป็นพื้นเรือน และน้ำหวานจากจั่นอ่อนนำไปทำน้ำตาลได้ (น.ธ.).
กะด้อ,น.,๑. ช้าง (ดู ช้าง
กะด้อ,น.,๒.).
กะด้อ,น.,ไม้ต้นชนิดหนึ่งคล้ายต้นหมาก แต่เล็กกว่า ใช้ปูเรือนได้ (น.ธ.).
กะดอก,น.,โสเภณี (ดู หญิงเที่ยว.).
กะดอก,ว.,"เปล่า, ไม่มีอะไร, ว่าง ๆ"
ระดอก (น.ธ.),,ก็ว่า.
กะดอกกะดอก,ว.,เปล่า ๆ (ดู ดอกดอก).
กะด็อง,ก.,มัดทารกด้วยผ้าอ้อมไม่ให้มือและเท้าเคลื่อนไหว (ดู ด็อง.).
กะดะ,ก.,"กระทุ้ง, เอาสิ่งของที่มีลักษณะยาวกระแทกให้แน่นหรือให้ออก."
กะดะ,ก.,กระเด้าขณะร่วมประเวณี (ดู หญ็อง
กะดะ,ก.,๓.).
กะดะ,ก.,กระดาก (ดู ดาก
กะดะ,ก.,).
กะดัง,น.,๑. กระด้ง (ดู ด้ง
กะดัง,น.,๑.). กะดังแร่ง.
กะดัง,น.,แร่ง.
กะดัง,น.,ข้าวตัง (ดู ดังข้าว
กะดัง,น.,๑.).
กะดังหริง,น.,มะพร้าวที่ขูดแล้ว นำไปผัดกับน้ำตาลกินกับข้าวเหนียวนึ่ง (น.ธ.).
กะดันนารี,น.,นกตัวเล็ก ๆ หางยาว คล้ายตุ๊กแก บินได้ด้วยหน้าท้อง เชื่อว่าเวลาร้องลิ้นจะออกมานอกปากอย่างชัดเจน ถ้าร้องเวลากลางคืน ณ ที่ใด บริเวณนั้นจะมีหญิงตั้งท้อง (น.ธ.).
กะดับ,ก.,"จัดแจง, เตรียม (ดู ดับ"
กะดับ,ก.,๑.).
กะดัย,ก.,จำนำ (น.ธ.).
กะดั้ย,ว.,"ไม่ลงรอยเดิม, ปีนเกลียว (น.ธ.)."
กะดา,น.,เครื่องหั่นใบยาสูบ ลักษณะคล้ายม้านั่งชนิดยาวที่ใช้ไสกบ (น.ธ.).
กะดาย,ก.,ตระหนี่ (ดู ขี้ชิด).
กะดี,น.,ปลากระดี่ (ดู ดี
กะดี,น.,๔.).
กะดี,ว.,ก็ดี เช่น ฉันไม่ไปกะดีงานยุ่งเกิน - ฉันไม่ไปก็ดีงานยุ่งเหลือเกิน.
กะดึกกะดึม,ว.,"อึกทึก, อื้ออึง, ครึกโครม (น.ธ.)."
กะดึง,ว.,เสียงดังเช่นนั้นอย่างเสียงกลองรำมะนา (น.ธ.).
กะดึงนายพราน,น.,ต้นหม้อข้าวหม้อแกงลิง (ดู หม้อข้าวหม้อแกงลิง).
กะดือ,,อุ. ใช้เป็นคำด่า ซึ่งหมายถึง อวัยวะเพศชาย เช่นเดียวกับกะดอ แต่สุภาพกว่า
"กะเดือน (ช.พ., ภ.ก.)",,ก็ว่า.
