Word,POS,Definition
"๓. ชื่อพืชคลุมดินชนิดหนึ่งคล้ายว่านหางช้าง มี ๒ ชนิด คือ กงแดงกับกงขาว. ๔. ชื่อพืชน้ำ ขึ้นตามทุ่งนา หรือพื้นที่ชุ่มน้ำ. ๕. ผ้าคลุมศีรษะของชาวไทยมุสลิมใช้ในพิธีละหมาด (น.ธ.). ๖. ส่วนรอบของล้อรถหรือเกวียน เรียก ""กงล้อ"". ๗. ไร่ล้มลุกที่ถางเป็นป่าหย่อม ๆ ตามเนื้อที่และกั้นเป็นขอบเขตไว้ เช่น หักล้างถางกงในดงดิน (สุวรรณวงศา). ๘. ชื่อขนมชนิดหนึ่งใช้ทำบุญในวันสารทไส้ถั่วเขียวบดละเอียดผสมน้ำตาล ชุบแป้ง ปั้นเป็นรูปต่าง ๆ แล้วทอดน้ำมัน",,
หนมไขปลา,,ก็เรียก.
๙. กระบะโลหะใส่น้ำยางพาราเพื่อนำไปทำให้น้ำยางแข็งตัว (ดู เบ้ายาง) ๑๐. ชื่อต้นไม้ชนิดหนึ่ง (ดู ปรง น. ๒). ก. ๑. การร้องของนกกบางชนิดในตอนกลางคืน เช่น นกคุ่ม นกเขาเล็ก นกเขาใหญ่. ๒. ทำให้โก่ง ๓. อาการที่คนกอดคอขี่หลังคนอีกคนหนึ่ง,,
กอดกง,,ก็ว่า
"ว. ค่อม, โค้ง เช่น ตาแปะหลังกง - คนแก่หลังค่อม.",,
ก้ง,น.,"ปู่, ตา แต่ถ้าต้องการชี้ชัดว่าปู่เรียก ""หล่ายก้ง"" ส่วนตาเรียก ""หวั่วก้ง"" (จ., ภ.ก., พ.ง.)."
กงกอน,น.,ชื่อไม้ต้น คล้ายโกงกาง ยอดสีแดง (ส.ฎ.).
กงกาง,น.,"๑. ไม้โกงกาง, ชื่อไม้ต้นขึ้นตามป่าชายเลน ชายทะเล นิยมใช้ทำฟืน และเผาถ่าน"
"พังกา (ภ.ก., พ.ง.)",,ก็เรียก.
๒. ชื่อเรือชนิดหนึ่งไม่มีใบ ไม่มีเครื่องยนต์ ต้องใช้เรืออื่นชักลาก (ดู ตั้ง น.).,,
กงเกง,น.,"กางเกง, เครื่องนุ่งห่มมี ๒ ขา"
"ก้างเกง, ก้างกิง, กุงกิง, กุงเกง, ข่อ (ภ.ก., พ.ง.)",,ก็เรียก.
กงเกงหรัง,น.,กางเกงสากลขายาว.
ก้งแก้ง,ว.,"๑. โอ้อวด, อวดเบ่ง เช่น อย่ามาทำก้งแก้งเดียวโถกถีบ - อย่ามาทำโอ้อวดเดี๋ยวถูกเตะ ๒. เก่งหรือดีเกินตัว เช่น แด็กหนี้ก้งแก้งจ้านตัวหีดเดียวหิ้วน้ำตั้งสองถุ้ง - เด็กนี้เก่งเกินตัว ตัวนิดเดียวหิ้วน้ำตั้งสองถัง."
ก้งแก้ง,ว.,"ทำเจ้าชู้, กรีดกราย (ป.น.,"
ก้งแก้ง,น.,ธ.).
กงโกะ,ว.,ผอมสูง
"สูงโม่ง, โย่งโกะ (ภ.ก.)",,ก็ว่า.
กงโกะกงหยก,,๑. ยงโย่ยงหยก.
กงโกะกงหยก,,นั่งยอง ๆ
กงโกะกงหยก,ว.,"ไม่ทะมัดทะแมง, ไม่กระฉับกระเฉง."
กงเขา,น.,ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ตระกูลเดียวกับคางคก (ดู กง
กงเขา,น.,๒.).
ก้งโค้ง,ก.,"โก้งโค้ง, โก่งก้นให้โด่ง, โน้มตัวลงยกก้นให้สูงขึ้น."
ก้งฉ่าย,น.,ผักกาดดองเค็ม.
กงซัง,น.,ตอซังข้าว.
ก้งซุ้น,น.,"กงสุล, พนักงานผู้มีหน้าที่ดูแลผลประโยชน์และคนในบังคับ ณ ต่างประเทศ ( อ. Consul ) (ภ.ก.)."
ก้งซุ้น,สำ.,ภรรยา เช่น คืนนี้อี้ไปกินเลี้ยงบอกก้งซุ้นแล้วหม้าย.
ก่งเต็ก,น.,พิธีทำบุญให้แก่ผู้เสียชีวิต มีการสวดและเผากระดาษที่ทำเป็นรูปต่าง ๆ เช่น บ้านเรือน รถ คนใช้ เป็นต้น ไปให้ผู้ตาย (จ .ภก.).
ก้งทู้,ว.,ยุติธรรม (ดู ก้งโท้).
ก้งโท้,ว.,"ยุติธรรม, ซื่อสัตย์ เช่น คนนี้เป็นคนก้งโท้"
"ก้งทู้, ก็องโถ่ (ส.ฎ.), ก็องโต่ (ภ.ก., พ.ง.)",,ก็ว่า.
กงลิ้นช้าง,น.,โกร่งครอบไกปืน.
กงแล็บ,น.,"กรงเล็บ, กลุ่มเล็บของแมวหรือนก เป็นต้น เมื่อขยุ้มเหยื่อมีเค้าคล้ายกรง."
กงวิน,น.,หวายถักเป็นวงสำหรับร้อยจมูกวัวควายที่เจาะใหม่
"เทียน, หวิง, หวิน, วิ้นเทียน",,ก็เรียก.
กงสี,น.,"๑. กองกลางที่ใช้รวมกันสำหรับคนหมู่หนึ่ง ๆ ๒. บริษัท, หุ้นส่วน."
กงสี,น.,โรงเรือนที่ใช้ร่วมกัน.
กงหนิด,น.,สลักสำหรับเกี่ยวแร้ว เพื่อโก่งคันแร้ว.
กงเหม็ง,ก.,"ออกกำลังเต็มที่, มุ, เกร็งเต็มที่ เช่น กงเหม็งเข้าต้าแค่อี้เสร็จแล้ว - ออกกำลังเข้าให้เต็มที่ เกือบจะเสร็จแล้ว."
กงหางกางเงี่ยง,สำ.,๑. เตรียมต่อสู้.
กงหางกางเงี่ยง,สำ.,ตรงกับสำนวน หมูเขาจะหามเอาคานเข้าไปสอด.
ก้งฮู้หลาง,น.,"ชาวจีนกวางตุ้ง (จ., ภ.ก.)."
กด,น.,"๑. กด, ชื่อปลาไม่มีเกล็ด มีหนวด ครีบหลังตอนแรกและครีบอกมีก้านครีบเป็นเงี่ยง ครีบตอนที่สองเป็นแผ่นเนื้อ พบมากในเขตน้ำกร่อย มีหลายชนิด เช่น กดขี้ลิง, กดกล้วย, กดดอกบด (ภ.บ.)."
กด,น.,นกกด.
กดตาแดง,สำ.,ตะเกียง เช่น นกกดตาแดงน้ำแห้งตาย - ตะเกียงหมดน้ำมัน (ปริศนาค่าทาย).
"ก. ๑. อดกลั้น, ยับยั้งไว้, ตรึงไว้.",,
กดไม่ติด,ก.,"กลั้นไม่อยู่, อั้นไม่ไหว."
กดยิ้ม,,นั่งยิ้มหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือนึกขำอยู่ในใจ เมื่อได้พบเห็นหรือฟังเรื่องขำขัน
กดโรง,ก.,ตรึงไว้ ใช้กับการประชันหนังตะลุงหรือมโนราห์เป็นการทำอาคมทางไสยศาสตร์กับคนดู เพื่อตรึงไว้ไม่ให้ไปดูฝ่ายตรงข้าม.
กดหัว,ก.,อดกลั้น ไม่หัวเราะ.
กดอกกดใจ,ก.,สะกดอกสะกดใจ.
"๒. บังคับ ลง, ข่ม, ใช้กำลัง ดันให้ลง เช่น ช่วยกดพุงที - ช่วยกดท้องหน่อย.",,
กดเข,ก.,"กดขี่, ข่มให้อยู่ในอำนาจตน."
กดลายมือ,ก.,พิมพ์ลายมือ.
กดหัว,สำ.,"บีบบังคับ, ข่มขู่ให้กลัว."
กดเงา,ก.,การดูเวลาโดยวิธีนับชั้นฉาย (ดู ชั้นฉาย).
กดดง,ก.,การทำพิธีขอโชคลาภจากเจ้าป่า โดยวิธีไสยศาสตร์เพื่อการล่าสัตว์ของพราน
ทำปาบังไพร,,ก็ว่า.
กดดม,ก.,"ปล้นสะดม, ปล้นโดยวิธีรมยาให้เจ้าของทรัพย์หลับสนิทไม่รู้สึกตัว."
กดรอย,ก.,"สะกดรอย, ตามไปติด ๆ โดยไม่ให้รู้ตัว."
กดหัวแข็ง,น.,ชื่อปลาชนิดหนึ่ง จำพวกปลากด (ดู ค้างโคะ).
กดาส,น.,กระดาษ (ตำราพระบรมราชูทิศกัลปนานครศรีธรรมราช).
กน,น.,ภาชนะเย็บด้วยกาบหมากหรือสิ่งอื่น ที่มีลักษณะคล้ายกัน
"โกระ, โคระ, โคล่ (พ.ท.), โตระ (น.ศ.)",,ก็เรียก.
"ก. โค่น, ตัด, ทำให้ล้มอย่างต้นไม้ล้ม.",,
ก้นหอย,น.,ลักษณะลายนิ้วมือที่ม้วนขดกลมอย่างก้นหอย (ดูลายเวียนลุกขี้หอย).
กบ,น.,"๑. กบ, ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบก ไม่มีหาง เท้าแบนมีหนังติดเป็นพืด กระโดดได้ไกล ว่ายน้ำ ดำน้ำได้เร็ว มักวางไข่ในน้ำ เมื่อยังเป็นตัวอ่อนจะมีหาง ภายหลังจึงงอกขา หางหดหายไปแล้วขึ้นอาศัยบนบก."
กบทูด,,กบทูด
กบทูด,น.,กบชนิดหนึ่ง ตัวโต อาศัย ตามลำธารบนภูเขาในป่าฝน
กบโนรา,,ก็เรียก.
กบบัว,น.,กบชนิดตัวเล็ก ตัวสีเขียว ขนาดเล็กกว่า กบนา มักอาศัยอยู่ตามกอบัว.
"๒. กบไสไม้, เครื่อง มือช่างสำหรับไสไม้เพื่อทำหน้าไม้ให้เรียบ หรือให้ เป็นร่าง ก. ประกบ, แนบชิดกัน, ทาบกัน, ชิด, ถึง เช่น เข้กบวัง - จระเข้กบดาน.",,
กบขอบ,ก.,เต็มเปี่ยมถึงขอบ
กบคู่,ก.,ประกบคู่ เป็นคำที่ใช้ในการชนวัว.
กบโคน,ก.,แทงจนถึงโคน.
กบเงิน,ก.,วางเงินเดิมพัน.
กบตา,ก.,ปรกตาหรือ ปิดตา.
