Word,Alternative Forms,POS,Definition
กวน,,น.,"น. เรียกของกินที่ทำด้วยผลไม้ เป็นต้น เคี่ยวกับน้ำตาลแล้วคนให้เข้ากันจนข้น., ก., รบกวน, ทำให้เกิดความรำคาญ เช่น อย่าไปกวนพี่จะทำงาน - อย่าไปรบกวนพี่จะทำงาน."
กวนโมโห,,ก.,ก. ยั่วโทสะ.
กวนอก,,ก.,ก. คลื่นไส้.
๒. คนให้เข้ากัน.,,,
กวนหมวน,,ก.,"ก. ทำให้น้ำขุ่น., สำ. ๑). รื้อฟื้นเรื่องเก่ามาเป็นประเด็น., ๒). ก่อกวน, ทำลายความสงบเรียบร้อย."
ก้วน,,น.,"น., ก๊ก, เหล่า (จ., ภ.ก.)., เสาหลักในการเล่นอาหว้าย ดาวเด้อ หรือราวเด้อ (ภ.ก.)., ก., การเปิดไพ่ใบที่ ๕ ในการเล่นไพ่ยี่สิบเอ็ดแต้ม., สำเร็จบริบูรณ์."
ก่วนต่า,,น.,"น. ป้ายวิญญาณที่ห้อยไว้กับกิ่งไผ่ที่เหลือยอดใบไว้ ๒ ใบ เพื่อให้ลูกชายคนโตถือนำหน้าโลงศพขณะหามศพไปฝังและพิธีกงเต๊ก (จ., ภ.ก.)."
กวม,,น.,"น., ช้างตัวผู้ไม่มีงา มีแต่ขนาย ลักษณะโตและสูงใหญ่ มีกำลังมากกว่าช้างงา ดุร้ายมาก., ไก่ตัวผู้ ไม่มีเดือย"
ไกแข้งหล้าง,ก็เรียก.,,
๓. พระมหานิกายที่ห่มผ้าอย่างธรรมยุติ. ๔. ชื่อไม้ยืนต้นชนิดหนึ่ง เปลือกและรากทำยาได้.,,,
ก่วย,,ก.,"ก. ทำให้เสียเรื่อง, ขัด, ขัดแย้ง เช่น หมึงยามาก่วยเรื่องของกูนะ - มึงอย่ามาทำให้เรื่องของกูเสียนะ (จ., ภ.ก., พ.ง.)."
กวยฉบ,,น.,น. ปาท่องโก๋ (ดู จาโก้ย).
ก่วยติ้ว,,น.,"น. นายอำเภอ (จ., ภ.ก.)."
ก๊วยเตี๋ยว,,น.,"น. ก๋วยเดี๋ยว, ชื่อของกินชนิดหนึ่ง ทำด้วยแป้งข้าวเจ้าเป็นเส้น ๆ"
โก๊ยเตี๋ยว,ก็เรียก.,,
กวะ,,ว.,"ว. คำต่อท้ายคำพูด, ประโยคที่ผู้ใหญ่ใช้กับเด็กหรือระหว่างเพื่อนฝูงวัยเดียวกัน เช่น ""ไปไหนกวะ"" - ไปไหนจ๊ะ (ช.พ.)."
กวัก,,น.,"น., นกกวัก., ชื่อหอยชนิดหนึ่ง ชอบอยู่ในป่าชายเลน., ชื่อสัตว์สี่เท้าสะเทินน้ำสะเทินบกชนิดหนึ่งคล้ายปาด ร้องเสียงกวัก ๆ., ก. กวักมือ"
หวักมือ,ก็ว่า.,,
กวักน้ำ,,ก.,"ก. กวักน้ำ (ดู หวัก, ก., )."
กวัด,,ก.,"ก. ปัด, ตวัด, แกว่ง."
กวัดกวัด,,ว.,"ว. ไม่สำรวม, ลุกลี้ลุกลน เช่น เดินกวัดกวัด - เดินไม่สำรวม"
ปัดปัด (น.ศ.),ก็ว่า.,,
กว้าน,,น.,"น., ร้านค้าเล็ก ๆ (น.ศ., พ.ท.)., ห้องแกว., บ้านที่ไม่มีใต้ถุน., ก. คว้าน."
กวายหลาย,,ก.,"ก., ไขว่คว้า เช่น เด็กตกน้ำมือกวายหลาย – เด็กตกน้ำมือไขว่คว้า., ทำไม่ระมัดระวัง (ต.ร.)., ไม่อยู่นิ่ง, ทำสิ่งที่ไม่เป็นประโยชน์., ว. ไม่อยู่ในร่องในรอย, กล้าเสี่ยงโดยไม่เกรงกลัว"
"กายหลาย (ภ.ก., พ.ง.)",ก็ว่า.,,
กวำ,,ก.,"ก. ขย้ำ, งับ., ว., โดนเต็มที่, อย่างจัง., เสียงดังเช่นนั้น."
กอ,,น.,"น., ชื่อไม้ต้นชนิดหนึ่ง ผลมีเนื้อในกินได้ รสมันคล้ายเกาลัด แต่เล็กกว่า มีหลายชนิด เช่น กอข้าว, กอหมู, กอดำ., กอ, กลุ่มแห่งต้นไม้ที่เกิดจากเหง้าเดียวกัน, ต้นไม้ที่ขึ้นเป็นกลุ่ม., เหล่ากอ เช่น กอมันดี - เหล่ากอมันดี., ก., เริ่ม เช่น เขากอสาดเป็นลายสอง - เขาเริ่มต้นสานเสื่อเป็นลายสอง., ก่อ, ทำให้เกิดขึ้น มีขึ้น หรือเป็นรูปขึ้น เช่น กอกำแพง - สร้างกำแพง, กอไฟ - ก่อไฟ., ลัก. ต้น, กอ เช่น บ้านฉานโปลกดีปลี ๓ กอ - บ้านฉันปลูกพริกไว้ ๓ ต้น, โปลกไคร ๓ กอ - ปลูกตะไคร้ ๓ กอ."
ก้อ,,น.,"น., ชื่อขนม (ดู โก้, น. ๒)., กลอง (ดู กลอง, น. ๑)., ก. เฝ้าดูแล (ภ.ก.)."
ก๊อ,,น.,"น. พี่สาวหรือน้องสาวฝ่ายพ่อ (จ., ภ.ก., พ.ง.)."
ก๋อ,,น.,"น. กาวแป้งเปียก (จ., ภ.ก., พ.ง.)."
ก๊อก,,น.,"น. ก๊อกน้ำ, เครื่องเปิดปิดน้ำจากท่อหรือภาชนะ."
ก๊อกกี๋,,น.,"น. ธงชาติ (จ., ภ.ก.)."
ก๊อกกี้กางเกิ้ก,,ว.,ว. เสียงไก่ขัน
กอกีกางกี้ด (ภ.ก.),ก็ว่า.,,
สำ. ไก่.,,,
ก๊อกแก็ก,,ว.,"ว. เล็ก ๆ น้อย ๆ, เหลาะแหละ."
กอกีกางกี้ด,,ว.,ว. เสียงไก่ขัน (ดู ก้อกกี้กางเกิ้ก).
ก่อขูด,,ว.,"ว. เก็บตัว, ไม่คบใคร. จองหอง, หยิ่ง, อวดดี, ทำหน้าบอกบุญไม่รับ (จ., ภ.ก., พ.ง.)."
กอง,,ก.,"ก. ทำให้สุมรวมกันไว้, สุมกันไว้."
กองปรน,,ก.,ก. การเก็บกิ่งไม้มากองเพื่อจุดไฟ.
กองลุย,,ว.,ว. มากมายก่ายกอง
"กองโขเข, กองเอ, กะลุย, กะหลักกะลุย, กะเอกะอ้าน, คะลักคะลุย, คะลุย, คะเอ, คะเอคะอ้าน, ระอักระเอ, ลักลุย, ลุย, ลุยเอ, อักเอ, เอ, เออัก",ก็ว่า,,
ก็องเกียะ,,น.,น. ปลวกชนิดหนึ่ง ตัวใหญ่ หัวแข็ง สีดำ มีเขี้ยว
"กั้งเกียะ, ก้างเกียะ, เกียะ (เทียบ ม. kiak - kiak ; ส.ข.)",ก็เรียก.,,
ก้องแก้ง,,ก.,ก. อวดดี (ดู อ้องแอ้ง).
ก้องข้อง,,น.,น. ดวงจันทร์ (ดู เขน).
ก่องจ้อ,,น.,"น. ทวด (จ., ภ.ก., พ.ง.)."
ก็องโต่,,ว.,ว. ยุติธรรม (ดู ก้งโท้).
ก็องถั่น,,ก.,"ก. เข้าหุ้นในการเล่นการพนัน (จ., ภ.ก.)."
ก้องถึง,,น.,น. ขนมตุ๊บตั๊บ (ดู ถัวทุบ).
ก็องโถ่,,ว.,ว. ยุติธรรม (ดู ก้งโท้).
กอฉะ,,ก.,ก. ร่วมประเวณี. (น.ธ.)
ก่อเซี้ย,,น.,"น. คนเฝ้าเครื่องจักรในเหมืองแร่ (จ., ภ.ก., พ.ง.)."
กอด,,ก.,"ก. กอด, โอบไว้ในวงแขน."
กอดกง,,ก.,"ก. อาการที่คนกอดคอขี่หลังคนอีกคนหนึ่ง (ดู กง, ก., )."
กอดแคระ,,ก.,ก. อาการที่พาเด็กหรือคนป่วย โดยเด็กหรือคนป่วยเกาะอยู่ข้างหลังให้ขาคร่อมเอวผู้พา
"กอดแคละ, กอดแคล่",ก็ว่า.,,
ก้อตะ,,น.,น. กล่องที่ทำจากวัสดุต่าง ๆ ใช้สำหรับบรรจุสิ่งของ
"กะตะ, ก้อเตาะ, โก้ต้า",ก็เรียก.,,
ก้อเตาะ,,น.,น. กล่องที่ทำจากวัสดุต่าง ๆ (ดู ก้อตะ).
กอน,,ว.,"ว. เดิม, เริ่ม, ลำดับแรก."
กอนไก,,ว.,ว. ช่วงเวลาดึกก่อนไก่ขันครั้งแรก.
กอนบุญ,,น.,น. ช่วงเวลาก่อนที่จะมีเทศกาลเดือนสิบ (สารท).
ก้อน,,น.,"น. มาตราเงินโบราณ มีค่า ๒๕ สตางค์ (ยกเว้นสงขลา มีค่า ๑๕ สตางค์)., ลัก. ของที่ปั้นเป็นก้อน เช่น เคยสองก้อน - กะปิสองก้อน."
ก้อนขี้หมา,,น.,น. ปลายจมูกของจระเข้.
ก้อนเส้า,,น.,"น., ก้อนดิน ก้อนอิฐ หรือก้อนหินที่เอามาเป็นหลักต่างเตาหุงต้ม., ก้อนหินที่เผาไฟ แล้วห่อผ้า ใช้ประคบท้องหญิงที่เพิ่งคลอดลูก., โหนก เช่น วัวนี้ก้อนเส้าใหญ่ - วัวนี้โหนกโต., ส่วนที่นูนบนหัวช้าง"
น้ำเต้า,ก็เรียก.,,
ก้อเนื้อ,,น.,น. ชื่อพันธุ์ข้าวพื้นเมือง (ก.บ.).
กอแปะ,,ก.,"ก. บุบ, บู้ลง. (น.ธ.)"
ก้อย,,ก.,ก. กิริยาของไก่ที่ร้องหารังจะไข่ (ดู ต้อย).
ก้อเยาะ,,น.,น. แผ่นยาที่ใช้ปิดบรรเทาปวด (ดู โปโยะ).
กอระ,,ว.,"ว. ไม่ได้ความ, ไม่ได้เรื่อง (ป.น., ย.ล)"
ฆ้อระ (น.ธ.),ก็ว่า.,,
กอระหนี,,น.,น. บานไม่รู้โรย (ดู กุนหนี).
กอแระ,,น.,"น. เครื่องมือคว้านหมากทั้งหมดให้เป็นฝอย ๆ ลักษณะเป็นโลหะ เช่น เหล็ก เป็นต้น รูปคล้าย อักษร “ร”., ก. การคว้านหมาก. (น.ธ.)."
กอและ,,น.,"น., ชื่อเรือประมงตามชายฝั่งทะเลทางภาคใต้ รูปร่างยาวเพรียว หัวและท้ายเรือแหลมสูง เขียนลวดลายสีสันต่าง ๆ ไว้อย่างสวยงาม"
ฆอและ,ก็เรียก.,,
๒. ชื่อขนมชนิดหนึ่ง ทำจากข้าวเจ้าละลายในน้ำกะทิ เมื่อสุกเทใส่ถาด โรยหน้าด้วยต้นหอมหั่นละเอียด. ๓. เรียกอาหารชนิดหนึ่ง ทำด้วยไก่ที่ถอดกระดูกชุบเครื่องปรุงรส ปิ้งให้สุกว่า ไก่กอและ.,,,
กอสั้ง,,น.,น. กระดุมเสื้อยาหยา
"กระชั้ง, กระสั้ง",ก็เรียก.,,
ก้อหรอ,,ก.,"ก. รุม, กลุ้มรุม."
กอหรัง,,ก.,"ก. มีน้อย, มีไม่เพียงพอ (น.ธ.)."
กอหลอ,,น.,น. ชื่อนกชนิดหนึ่ง.
กอหลี,,น.,"น. ชื่อขนมชนิดหนึ่ง (ดู กุหลี, น., )."
ก๊อหุ้น,,น.,"น. หุ้น (ดู หุ้น, น.)."
ก่ออ๊าม,,น.,"น. ผู้ดูแลศาลเจ้า (จ., ภ.ก.)."
ก่อเอ๊ว,,น.,น. แผ่นขี้ผึ้งปิดแผลชนิดหนึ่งของจีน มักใช้ปิดฝีเพื่อดูดหนอง
"กอเอียะ (จ., ภ.ก.).",ก็เรียก.,,
กอเอ๊วญี่ปุ่น,,น.,น. แผ่นยาที่ใช้ปิดบรรเทาปวด (ดู โปโยะ).
กอเอียะ,,น.,น. แผ่นขี้ผึ้งปิดฝี (ดู ก่อเอ๊ว).
กะ,,น.,"น., ไม้ไผ่สานแบบตะกร้อสอยผลไม้ ข้างบนใช้สำหรับวางสิ่งของเซ่นสรวง เช่น ยกหนมโคใส่กะ เซ่นพระภูมิ., เครื่องประกอบสมอเรือช่วยให้กดดิน"
ป้าน,ก็เรียก.,,
๓. รอบหนึ่งของคาบทำงาน เช่น กะหนึ่งทำงาน ๓ ชั่วโมง. ๔. นกกระเต็นพันธุ์หนึ่ง ขนลาย ชอบกินปลา และขุดรูบริเวณดินลาดชัน,,,
"บังกะ, บังก้า, ปังกะ, ปังก้า, พังกะ, พังคะ",ก็เรียก.,,
๕. เชือกที่โยงจากอวนกับเรือ สำหรับลากอวนมาสู่เรือ. ๖. คำนำหน้าชื่อสตรีของไทยมุสลิม,,,
กือ (น.ธ.),ก็เรียก.,,
๗. รังทำไว้สำหรับให้นกไข่หรือไก่ไข่,,,
ตรอม,ก็เรียก.,,
"๘. ชื่อไม้ชนิดหนึ่ง เปลือกสีดำ ทำฟืนได้. ๙. เครื่องมือสอยผลไม้ (ดู กรอม น. ๒.). ก. ๑. แตกร้าว, กำลังจะขาด เช่น ไม้นี้กะเสียแล้ว อย่าเอาไปทำเริน - ไม้นี้แตกร้าวเสียแล้วอย่าเอาไปสร้างบ้าน. ๒. เอามือเค้นคอ (ก.บ., ส.ต., ต.ร.). ๓. คาคคะเน, ประมาณ, กำหนด, หมาย. ๔. การบากไม้เป็นเครื่องหมายไว้เป็นระยะ ๆ. ๕. กัด เช่น กะอ้อย - กัดอ้อย. ว. ก็ เช่น ไปกะได้ - ไปก็ได้.",,,
ก้า,ก็ว่า.,,
กะกรัก,,ก.,ก. เขย่าสิ่งของในภาชนะ เพื่อให้อัดตัวกันแน่น (เขย่าทางข้าง).
กะกรุ้ง,,ก.,ก. เขย่าสิ่งหนึ่งสิ่งใดด้วยอาการขึ้นลงด้วยความตื่นตระหนกหรือความสนุก.
กะกุบ,,น.,"น. กล่อง, ตลับ (ดู กุบ)."
กะไกร,,น.,น. กรรไกร (ดู ไกร).
กะเคี่ย,,ว.,"ว. ระเนระนาด, ระเกะระกะ."
กะจง,,น.,"น. ภาชนะสานด้วยไม้ไผ่หรือเตยใช้ใส่ของ, กระจง (ดู จง)."
กะจะ,,ก.,ก. ว่องไว เช่น แด็กคนนี้กะจะจริง - เด็กคนนี้ว่องไวจริง
กือเจ๊าะ,ก็ว่า.,,
ว. เห็นได้ชัดเจน.,,,
กะจ๊ะ,,น.,"น., ช้าง (ดู ช้าง, น., )., คลื่น, ลูกคลื่น."
กะจะโรป,,น.,น. แผงเก็บรูปหนังตะลุง (ดู แผงหนัง).
กะจัง,,น.,"น., ชื่อปลาน้ำกร่อยชนิดหนึ่ง (ดู จัง, น., )., เครื่องบังลมชนิดหนึ่ง., ว. มาก (ดู จัง, ว.)."
กะจั๊วะ,,น.,"น., แมลงสาบ (ดู สาบ, น., )., ตั๊กแตนตำข้าว, แมงดา (ช.พ.)., สำ. ผู้ชายที่เกาะผู้หญิงกินทำนองกาฝากหรือแมงดา (ภ.ก., พ.ง.)."
กะจ๋าม,,ก.,ก. จาม (น.ธ.)
กือจ๋าม,ก็ว่่า.,,
กะแจ,,น.,น. กุญแจ (ดู ลูกแจ).
กะแจง,,น.,"น. กะชะ (ดู ชะ, น., )."
กะแจงหิ้ว,,น.,น. ตะกร้ามีหู.
กะแจ๋ง,,น.,น. ตะแกรง (ดู แตรง).
กะโจ๋,,ว.,ว. ลุกลี้ลุกลน.
กะโจะ,,น.,"น. เครื่องกันขโมยหลอก ๆ (ดู โจ, น.)."
กะฉด,,ก.,ก. กระถด (ดู ถด).
กะฉอน,,ก.,"ก. คลอน (ดู ฉอน, ก.)."
กะฉะ,,ก.,"ก., ใช้เท้าวิดน้ำจากที่หนึ่งไปยังอีกที่หนึ่ง., ปะทะคารมกัน., ไก่ตีกัน (น.ธ.)."
กะฉูด,,ก.,"ก. กระฉูด, พุ่งออกไป (น.ธ.)."
กะโฉง,,ก.,"ก. กระฉอก (ดู ฉอก, ก., )."
กะโฉ้ง,,น.,น. ขวานถากไม้ (ดู ขวานโฉ้ง).
กะโฉะ,,ก.,"ก., เริ่มออกอย่างแรง., กระตุก, ดึง, (ดู โฉะ)."
กะช็อง,,ก.,ก. ผูกเข้าด้วยกัน เช่น กะช็องมือ - ผูกมือเข้าด้วยกัน (น.ธ.).
กะช็็อด,,น.,"น. กะชะ (ดู ชะ, น., )., ก. กระชาก, ดึง (ดู ชะ, ก., )., ว. กระเถิบ (น.ธ.)."
กะชะ,,ก.,"ก., รีบ, รีบเร่ง, บังคับให้เร็ว, เตือนให้รีบปฏิบัติ., ชัก, ดึง, กระชาก เช่น กะชะปีน - ชักปืน (น.ธ.)."
กะชับ,,ว.,"ว. แข็งแรง, ล่ำสัน, มั่นคง (น.ธ.)."
กะชาย,,น.,"น. ผู้ชาย (ดู ชาย, น., )"
กะชิง,,น.,"น. กะพ้อ (ดู พ้อ, น.)."
กะชุ่น,,ก.,"ก. ดิ้น, ทุรนทุราย (ดู ชิน, ก., )."
กะเชอ,,น.,น. กระเชอ (ดู เชอ).
กะแช่,,น.,น. น้ำตาลเมา (ดู หวาก).
กะซ้า,,น.,"น. กระชุ (ดู ชุด, น., )."
กะซี่,,ว.,ว. ไม่สมบูรณ์ (น.ธ.).
กะเซอ,,ก.,"ก. ทำไก๋, ทำเสแสร้งว่าไม่รู้, ทำไขสือ (น.ธ.)."
กะเซียม,,น.,น. วัณโรค (ดู ฝีในพุง).
กะดกหมาก,,น.,น. กาบหมาก (ดู ตอกหมาก).
กะด้ง,,น.,"น. กระด้ง (ดู ด้ง, น., )."
กะด่วน,,ว.,"ว. รีบ, เร่ง, ด่วน (น.ธ.)"
กือด่วน,ก็ว่า.,,
กะดอ,,น.,"น., อวัยวะเพศชาย (ดู หัวดอ)., ชื่อปาล์มชนิดหนึ่ง คล้ายต้นหมากแต่เล็กกว่า ลำต้นนำมาทำเป็นพื้นเรือน และน้ำหวานจากจั่นอ่อนนำไปทำน้ำตาลได้ (น.ธ.)."
กะด้อ,,น.,"น., ช้าง (ดู ช้าง, น., )., ไม้ต้นชนิดหนึ่งคล้ายต้นหมาก แต่เล็กกว่า ใช้ปูเรือนได้ (น.ธ.)."
กะดอก,,น.,"น. โสเภณี (ดู หญิงเที่ยว.)., ว. เปล่า, ไม่มีอะไร, ว่าง ๆ"
ระดอก (น.ธ.),ก็ว่า.,,
กะดอกกะดอก,,ว.,ว. เปล่า ๆ (ดู ดอกดอก).
กะด็อง,,ก.,ก. มัดทารกด้วยผ้าอ้อมไม่ให้มือและเท้าเคลื่อนไหว (ดู ด็อง.).
กะดะ,,ก.,"ก. กระทุ้ง, เอาสิ่งของที่มีลักษณะยาวกระแทกให้แน่นหรือให้ออก., กระเด้าขณะร่วมประเวณี (ดู หญ็อง, ก., )., กระดาก (ดู ดาก, ก.)."
กะดัง,,น.,"น., กระด้ง (ดู ด้ง, น., ). กะดังแร่ง., น. แร่ง., ข้าวตัง (ดู ดังข้าว, น., )."
กะดังหริง,,น.,น. มะพร้าวที่ขูดแล้ว นำไปผัดกับน้ำตาลกินกับข้าวเหนียวนึ่ง (น.ธ.).
กะดันนารี,,น.,น. นกตัวเล็ก ๆ หางยาว คล้ายตุ๊กแก บินได้ด้วยหน้าท้อง เชื่อว่าเวลาร้องลิ้นจะออกมานอกปากอย่างชัดเจน ถ้าร้องเวลากลางคืน ณ ที่ใด บริเวณนั้นจะมีหญิงตั้งท้อง (น.ธ.).
กะดับ,,ก.,"ก. จัดแจง, เตรียม (ดู ดับ, ก., )."
กะดัย,,ก.,ก. จำนำ (น.ธ.).
กะดั้ย,,ว.,"ว. ไม่ลงรอยเดิม, ปีนเกลียว (น.ธ.)."
กะดา,,น.,น. เครื่องหั่นใบยาสูบ ลักษณะคล้ายม้านั่งชนิดยาวที่ใช้ไสกบ (น.ธ.).
กะดาย,,ก.,ก. ตระหนี่ (ดู ขี้ชิด).
กะดี,,น.,"น. ปลากระดี่ (ดู ดี, น., )., ว. ก็ดี เช่น ฉันไม่ไปกะดีงานยุ่งเกิน - ฉันไม่ไปก็ดีงานยุ่งเหลือเกิน."
กะดึกกะดึม,,ว.,"ว. อึกทึก, อื้ออึง, ครึกโครม (น.ธ.)."
กะดึง,,ว.,ว. เสียงดังเช่นนั้นอย่างเสียงกลองรำมะนา (น.ธ.).
กะดึงนายพราน,,น.,น. ต้นหม้อข้าวหม้อแกงลิง (ดู หม้อข้าวหม้อแกงลิง).
กะดือ,อุ. ใช้เป็นคำด่า ซึ่งหมายถึง อวัยวะเพศชาย เช่นเดียวกับกะดอ แต่สุภาพกว่า,,
"กะเดือน (ช.พ., ภ.ก.)",ก็ว่า.,,
กะดุ้ง,,ก.,"ก. กระทุ้ง, สอย (น.ธ.)."
กะเด้,,ว.,ว. นานพอสมควรแล้ว ตรงข้ามกับกะเดียว (น.ธ.).
กะเดอะ,,น.,น. หัวหน้าตัวเมีย มักใช้กับควายฝูง.
กะเดียว,,ว.,ว. ตะกี้
"แตเดียว, แรกเดียว",ก็ว่า.,,
กะเดือน,อุ. ใช้เป็นคำด่า ซึ่งหมายถึง อวัยวะเพศชาย (ดู กะดือ).,,
กะเดือนและ,,ก.,ก. ไม่ยอม.
กะโดกหัว,,น.,"น. กะโหลก (ดู โหลก, น., )."
กะโดน,,น.,"น. ชื่อไม้ต้นชนิดหนึ่ง (ดู โดน, น.)."
กะโด๊ะ,,ก.,ก. รนหาที่ (ดู เจ็บหวาด).
กะได,,ก.,"ก. เคยตัว (ดู ได, ก.)."
กะตรน,,น.,"น. กระสวย (ดู ตรน, น., )."
กะตร้อ,,น.,"น. ลูกตะกร้อที่ใช้เตะเล่น (ดู กร้อ, น., )."
กะตรอง,,น.,"น. กระชอน (ดู กรอง, น.)."
กะตรี๋,,น.,น. พิธีการทรงเจ้าของชาวไทยมุสลิมเพื่อถามอาการไข้ และวิธีการรักษาแก่ผู้ป่วยไข้โดยมีการบรรเลงดนตรีด้วยปี่ชวา ฆ้อง โหม่ง และกลองแขก เพื่อเชิญเจ้ามาเข้าทรงด้วย.
กะต๊วย,,น.,น. ไฝเม็ดโต ๆ ที่ขึ้นตามส่วนต่าง ๆ ของร่างกาย (น.ธ.).
กะตอ,,น.,"น. สะตอ (ดู ตอ, น., )."
กะตอเบา,,น.,น. กระถิน (ดู ตอเบา).
กะต๋อย,,น.,"น. หน่อเล็ก ๆ, ไม่โต."
กะตะ,,น.,"น., สะมุก (ดู หมุก, น.)., กล่องที่ทำจากวัสดุต่าง ๆ ใช้สำหรับบรรจุสิ่งของ (ดู ก้อตะ)."
กะตะข้าวหอ,,น.,น. กล่องสำหรับใส่ข้าวห่อ.
กะตะหลกเกาะ,,น.,น. กล่องใส่บุหรี่ (น.ธ.).
กะตัว,,ก.,"ก. ทำธุระให้ผู้อื่นด้วยกิริยาอาการกระตือรือร้น, กุลีกุจอ."
กะตาง,,น.,น. สตางค์ (ดู ตาง).
กะต๋าว,,น.,น. เข่งเล็ก ๆ ใช้ใส่หรือตวงกุ้งเยื่อเคย.
กะตึ๋ง,,ก.,"ก. ตรึง, ผูกให้อยู่คงที่ (น.ธ)."
กะตึ๋งกะแต๋ง,,ว.,ว. พันกันยุ่ง
ระตึ๋งระแต๋ง (น.ธ.),ก็ว่า.,,
กะตุ๊ด,,น.,"น. หูด (ดู ตุด, น., )."
กะตูก,,น.,"น. ชื่อนกชนิดหนึ่ง คล้ายนกกะปูด แต่ตัวเล็กกว่า (ดู ตูก, น.)."
กะตูด,,น.,"น. ก้น, ตะโพก, ทวาร (ดู วาน, น.)."
กะเตะ,,น.,น. วัดของพุทธศาสนา (น.ธ.).
กะเตอะ,,ก.,ก. กะเทาะออกเป็นแผ่นเล็ก ๆ (ช.พ.).
กะเตาะ,,น.,"น. กาบพืชตระกูลปาล์ม (ดู ตอก, น., )."
กะเตียว,,น.,"น. ชื่อไม้ต้นขนาดใหญ่ เนื้ออ่อน ขึ้นในที่ลุ่ม. (ดู เตียว, น., )., ก. กระเดียด (แคละ)."
กะแตรง,,น.,"น. กะชะ (ดู ชะ, น., )."
กะโต,,ก.,"ก. กระโดดงับ, กระโดดหยิบ."
กะโต่ง,,น.,น. กระป่อง (น.ธ.).
กะโตน,,ก.,"ก. กระโจน (ดู โตน, ก.)."
กะโต๊ะ,,ก.,"ก. อยู่ไม่นิ่ง, ทุรนทุรายด้วยความเจ็บปวด (ดู เจ็บหวาด)."
กะไต,,น.,"น. สะตอ (ดู ตอ, น., )."
กะไตซก,,น.,น. สะตอดอง.
กะไตเบา,,น.,น. กระถิน.
กะไตหนัก,,น.,น. สะตอ.
กะถก,,ก.,"ก. ถลอก (ดู ถอก, ก., )."
กะถด,,ก.,ก. กระถด (ดู ถด).
กะถุ้ง,,น.,"น. ถัง (ดู ถุ้ง, น., )."
กะเถง,,ก.,ก. เดินหรือวิ่งเขย่งด้วยเท้าข้างเดียว (ดู เถง.).
กะแถ็ด,,ก.,ก. กระถด (ดู ถด).
กะทอก,,ก.,"ก. ร่อน, เขย่า, สั่น (ดู แร่ง, ก.)."
กะท็อก,,ก.,"ก. กระตุก, กระชาก, ดึง (ดู ทก, ก., )."
กะทับ,,น.,"น. เปลือกปิดปากฝาหอย (ดู ทับ, น., )."
กะทา,,น.,น. ไม้รุนขยะคล้ายคราดแต่เป็นแผ่นทึบไม่มีซี่
กะทาย,,น.,น. กระบุงเล็ก ปากผาย.
กะทิ่น,,ว.,"ว. พอเหมาะ, พอดี (ดู ทิ่น, ว., )."
กะทึง,,น.,"น. ต้นกากะทิง (ดู ทึง, น.)."
กะทุยใยมัน,,น.,น. สัตว์เลื้อยคลานคล้ายแมงป่อง แต่เล็กกว่า เหล็กในมีพิษ (ดู ทวยใยมัน).
กะทู้,,น.,"น. ไม้กลมโคนแหลม ขนาดเท่าไม้พลอง แต่ยาวกว่าใช้ทำรั้วคอกควาย (ดู ไม้โท้, น., )."
กะเทียมขาว,,น.,"น. กระเทียม (ดู เทียม, น., )."
กะเทียมแดง,,น.,"น. หอม (ดู หอม, น.)."
กะโทง,,น.,น. กระป๋อง (น.ธ.).
กะโทะ,,น.,"น. ชื่อไม้พุ่มขนาดเล็ก (ดู โท่, น.)."
กะนอ,,น.,"น., ของเหลือ., ไม้แผ่นปิดหัวตงและกระดานพื้น (ดู นอ, น., )."
กะนะ,,น.,น. กะชะ (ดู ชะ).
กะนัง,,น.,"น. กิ่งไม้ที่สุมไว้ในลำคลองหรือหนองน้ำเพื่อล่อปลา (ดู หฺมฺรำ, น., )."
กะนัด,,น.,น. สับปะรด (ดู ย่าหนัด).
กะน้า,,น.,น. ผักคะน้า
"กะหน่าฉ่าย, แคะหนา, แคะหน่าฉ่าย (ภ.ก.)",ก็เรียก.,,
กะนาง,,น.,"น. ชนาง (ดู นาง, น., )."
กะนาหลิง,,ก.,ก. เจ็บจนตัวสั่นแล้วสลบไป
จับกะนาหลิง (น.ธ.),ก็ว่า.,,
กะเน๊าะกะแน๊ะ,,ก.,"ก. ยุ่งยาก., ว. พะรุงพะรัง, เอาใจใส่ในหน้าที่การงาน. (ดู ฆะเน๊าะฆะแน๊ะ)."
กะเนียง,,น.,"น. ภาชนะปั้นดินเผา ปากกว้าง (ดู เนียง, น., )."
กะบะ,,น.,"น. สำรับ, ภาชนะที่ใช้ใส่ถ้วยชามพร้อมบรรจุอาหารคาวหรือหวานเป็นชุด ทำด้วยไม้ รูปร่างสี่เหลี่ยม ก้นแบน มีขอบอย่างถาด (ช.พ.)."
กะบับ,,น.,"น. สะบัก (ดู บับ, น.)."
กะบาน,,น.,"น. ภาชนะสานด้วยไม้ไผ่ ขนาดเล็กกว่ากระด้ง (ดู บาน, น., )."
กะบาย,,น.,"น. ภาชนะสานรูปคล้ายกระบุง แต่มีขนาดเล็กกว่า ปากกลม, ก้นสี่เหลี่ยม."
กะเบนท้องน้ำ,,น.,น. แนวสันหลังของปลากระเบนมีปุ่มคล้ายกระดูกเป็นเม็ด ๆ นิยมนำมาทำหัวแหวน (ดู เบนท้องน้ำ)
