คำ,POS,ความหมาย
ถอย,ก.,"เคลื่อนตัวออกจากที่มาข้างหลัง, เคลื่อนที่กลับมา"
ถ่อย,ว.,"ชั่ว, เลว, ร้าย, เช่น ถ่อยฮ้าย หรือถ่อยหลาย = ชั่วร้าย"
ถ้อย,น.,คำพูด คำที่กล่าว
ถะหนำ,น.,ปี
ถัก,ก.,เอาเชือก หรือหวายร้อยประสานกัน ทำสิ่งประดิษฐ์ต่าง ๆ
ถักถั่น,ว.,"ลักษณะอาการเอาจริงเอาจังเช่นกอดอยู่ทักทั่น, ยู้อยู่ทักทั่น"
ถัง,น.,"ภาชนะชนิดหนึ่งใช้ตักน้ำ และตวงเข้า, ส่วนมากว่า ครุถัง, เป็นมาตราชั่งตวงข้าว ๑ ถัง = ๑๐ ทะนาน"
ถั่ง ๑,ก.,"ไหลพุ่งอย่างแรง, น้ำไหลซัดฝั่ง"
ถั่ง ๒,ก.,"กระทุ้ง, กระแทก, เช่น ถั่งโป่ง = กระทุ้งโปง"
ถัด,ก.,"กระเถิบไป, เคลื่อนไป"
ถัน,น.,เต้านม
ถั่น,ว.,"กระชั้น, ถี่, เป็นลดหลั่น"
ถัมภ์ (แบบ),ว.,"หลัก, เสา"
ถัมภ์ (แบบ),น.,ความดื้อด้าน (ป.)
ถั้ว,ว.,"ขุ่มมัว, ตาที่มีฝ้าสีขาวปิดลูกตามองไม่เห็นชัด = ตาถั่ว"
ถัว ๑,น.,นกชนิดหนึ่งมีขนขาวที่หัว ตัวขนาดนกเอี้ยง = นกอีเพา
ถั่ว ๑,น.,"พืชเถาจำพวกหนึ่งมีหลายพันธุ์ เช่น ถั่วดำ, ถั่วเขียว, ถัวเหลือง, ถั่วพู, ถั่วฝักยาว, ถั่วแระ เป็นต้น"
ถัว ๒,ก.,"เฉลี่ย, ทำส่วนให้เท่ากัน"
ถั่ว ๒,น.,ชื่อการพนันชนิดหนึ่ง
ถั่วงอก,น.,การเพาะถั่วเขียว ถั่วเหลืองให้งอก
ถั่วแปบ,น.,ถั่วชนิดหนึ่งใช้ปรุงอาหาร ลักษณะคล้ายถั่วลันเตาแต่ใหญ่กว่าและเป็นชื่อขนมชนิดหนึ่ง
ถั่วโป,น.,ชื่อการพนันชนิดหนึ่ง
ถั่วเลี่ยน,น.,ทุเรียน
ถา,ว.,"แฉลบ, เฉียด = ถลา"
ถ้า ๑,สัน.,"แสดงความหมายไปอย่างอื่นเช่น ผิว่า, แม้ว่า"
ถ้า ๒,ก.,"รอ, คอย"
ถาก,ก.,อาการใช้ขวานมีดเซาะเปลือก หรือเนื้อไม้ให้ได้รูปร่างขนาดตามต้องการ
ถากถาง,สำ.,การพูดจากระทบกระเทียบเพื่อให้ผู้อื่นเสียหาย
ถาง,ก.,ฟันต้นไม้ต้นหญ้าให้เรียบเตียน
ถาด,น.,ภาชนะอย่างหนึ่ง ลักษณะกลมแบน สำหรับใช้วางสิ่งของอาหารแก้วน้ำ แก้วเหล้า เป็นต้น
ถาดทา,น.,ไม้แผ่นมีด้ามยาวสำหรับจับ ใช้กวาดดิน หรือขี้ผง
ถาน,น.,ส้วมพระ
ถ้าน,น.,ชั้น เช่น ถ้าน ๑ = ชั้น ๑
ถ่าน ๑,น.,ไม้ที่เผาจนดำปล่อยให้เย็นสนิท แล้วนำไปติดไฟหุงต้มอาหาร
ถ่าน ๒,น.,เห็ดชนิดหนึ่งมีสีดำ
ถ่านหิน,น.,"วัตถุชนิดหนึ่งที่ขุดได้จากใต้ดิน ใช้เป็นเชื้อเพลิงที่สำคัญที่สุด สำหรับโรงงานอุสาหกรรม, สำ. หรับเรือเดินทะเล และอื่น ๆ"
ถาบ,ก.,"ตบ, ตี, เช่น นกถาบปีก = นกตีปีก"
ถ้ามกลาง,น.,"ที่ระหว่างกลาง, ใจกลาง"
ถ่าย,ก.,"ลอกแบบ, จำลองแบบ, เช่น ถ่ายรูป, ถ่ายเอกสาร"
ถ่าว ๑,ว.,"รุ่นสาว, รุ่นหนุ่ม, เช่น ""โฉมเฉลาส้อยเอ็ดนางนงค์ถ่าว"" (ฮุ่ง) ""เมื่อนั้นพุ่งพุ่งพร้อมเชืองถ่าวอาลัว"" (ฮุ่ง)"
ถ่าว ๒,น.,ใช้บอกขนาดสิ่งของ เช่น กะด่าถ่าว = ตะกร้าขนาดกลาง
ถาวร,ว.,"มั่นคง, ทนทาน"
ถ้ำ ๑,น.,โพรงลึกเข้าไปในภูเขา
ถ้ำ ๒,น.,เรียกภาชนะชนิดหนึ่ง ทรงกระบอกมีคอตั้ง และมีฝาปิดตรงคอสำหรับใส่ใบชา ว่า ถ้ำชา
ถิด,ว.,"ถัดไป, ชิด, ติด"
ถิดไป,ก.,"กระเถิบไป, เคลื่อนไป"
ถิ่น,น.,"ที่อยู่, ดินแดน, เขตแดน"
ถิ้ม,ก.,ทิ้ง เช่น ถอกถิ้ม = เททิ้ง
ถิร (ถิน),ว.,"มั่นคง, แข็งแรง"
ถี่,ว.,"ไม่ห่าง, ติด ๆ กัน, บ่อย ๆ"
ถีนะ,น.,"ความง่วงเหงา, ความเกียจคร้าน (ป.)"
ถีบ ๑,ก.,ใช้เท้ายันไปโดยเร็ว หรือกระแทกโดยเร็ว
ถีบ ๒,ว.,นำตัวขึ้นให้พ้นฐานะที่ไม่ดี เช่น ถีบตัว
ถืก ๑,ก.,"ถูก, ต้อง, สัมผัส"
ถืก ๒,ว.,ของราคาต่ำ เช่น ราคาถืก = ราคาถูก
ถือ,ก.,"ใช้มือยึดจับเอาของไว้ เช่น มือมีด, รับมา เช่น ถือศีล = จำศีล"
ถือ,ก.,"ตั้งครรภ์, เช่น ถือภาร์"
ถุน ๑,น.,ฟื้นล่างของเรือน
ถุน ๒,ก.,"เสพ, กิน, เช่น ถุนฝิ่น = เสพฝิ่น"
ถุย,ก.,"บ้วนทิ้ง, ถ่มทิ้ง, เช่น ถุยน้ำลาย = บ้วนน้ำลาย"
