คำ,POS,ความหมาย
ษา,น.,"พรรษา, ฝน, ปี."
ษาแก,สำ.,รู้หลบเลี่ยงความผิด เพราะมีความรู้ประสบการณ์ในเรื่องนั้น ๆ มาก.
ษาแก,สำ.,"หัวหมอ, รู้ตื้นลึกหนาบางในระเบียบจนรู้จักหลบเลี่ยงความผิด"
ษาจีน,น.,"ภาษาจีน (ภ.ก.) เช่น พวกษาจีน, คนษาจีน - คนจีน."
